feature,importance
RollingMean3,14.358004746093014
WarehousesSellingCount_Lag1,11.519672873177775
Lag1_NetSales,10.219937750295612
RollingMean2,9.830040813504974
National_x_Warehouse,8.376470368842762
NationalSales_Lag1,6.43307585882932
Lag2,4.929771311433017
WarehouseGrowth,4.928537686386374
NationalGrowth,4.617391952661504
RollingMedian3,3.6241387145298605
RollingMax3,3.5571064053903934
CurrentSegmentDuration,2.8380479326171355
MonthsInAVAL,2.6863626031152212
NationalRollingMean3,2.1872304958780218
ItemAge,1.972845053175278
RollingMin3,1.9378883249955317
RollingMeanDelta_3_2,1.3438431836518119
Outage,1.2170138335420715
Lag1_Returns,1.1545903296106723
ItemAge_x_Segment,0.749094699410771
Lag1,0.6246257621797623
GrowthRatio,0.27268497725570284
Segment,0.2100868776629011
MonthCos,0.18717883948132172
Outage_x_Segment,0.17674548402188778
WH,0.047613122257325106
HasAvailabilityRecord,0.0
Item,0.0
IsExpFlagged,0.0
Momentum,0.0
RollingStd3,0.0
RollingStd2,0.0
Lag3_Outage,0.0
Lag3,0.0
Lag1_Outage,0.0
Lag2_Outage,0.0
TimeIndex,0.0
MonthSin,0.0
Quarter,0.0
Month,0.0
Year,0.0
MonthsSinceLastSale,0.0
ConsecutivePositiveMonths,0.0
SegmentTransitionCount,0.0
ConsecutiveZeroMonths,0.0
RollingOutage3,0.0
RollingOutage2,0.0
MonthsInROFF,0.0
MonthsInSHTG,0.0
MonthsInRARE,0.0
EverROFF,0.0
EverSHTG,0.0
EverRARE,0.0
WarehouseVolume_Lag1,0.0
OutageFrequency,0.0
ConsecutiveOutageMonths,0.0
EverOutaged,0.0
SegmentSeverity,0.0
WarehouseAvgSales_Lag1,0.0
Sales_x_Outage,0.0
HasAvail_x_Segment,0.0
