Model,Fold,Fits_+-20pct,Incorrect,Total,Pct_Fit
Lag1,1,15659,8683,24342,64.33
Lag1,2,15846,8496,24342,65.1
Lag1,3,15671,8671,24342,64.38
RollingMean2,1,12187,12155,24342,50.07
RollingMean2,2,15460,8882,24342,63.51
RollingMean2,3,15597,8745,24342,64.07
RollingMean3,1,11037,13305,24342,45.34
RollingMean3,2,12099,12243,24342,49.7
RollingMean3,3,14867,9475,24342,61.08
CatBoost,1,14147,10195,24342,58.12
CatBoost,2,15332,9010,24342,62.99
CatBoost,3,15605,8737,24342,64.11
CatBoost_Blend,1,15662,8680,24342,64.34
CatBoost_Blend,2,15998,8344,24342,65.72
CatBoost_Blend,3,16009,8333,24342,65.77
LightGBM,1,15840,8502,24342,65.07
LightGBM,2,16058,8284,24342,65.97
LightGBM,3,16172,8170,24342,66.44
LightGBM_Blend,1,15948,8394,24342,65.52
LightGBM_Blend,2,16067,8275,24342,66.01
LightGBM_Blend,3,16083,8259,24342,66.07
XGBoost,1,15850,8492,24342,65.11
XGBoost,2,16036,8306,24342,65.88
XGBoost,3,16231,8111,24342,66.68
XGBoost_Blend,1,15997,8345,24342,65.72
XGBoost_Blend,2,16026,8316,24342,65.84
XGBoost_Blend,3,16123,8219,24342,66.24
